Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Cervical incompetence,"Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Cervical injury (unspecified),"Urogenital system finding, Reproductive system finding, Traumatic episode finding, Pelvic structure finding"
Cervical injury - laceration,"Urogenital system finding, Reproductive system finding, Traumatic episode finding, Wound finding, Pelvic structure finding"
Cervical scar/fibrosis,"Urogenital system finding, Reproductive system finding, Traumatic episode finding, Pelvic structure finding"
Cervicitis,"Urogenital system finding, Reproductive system finding, Inflammatory disorder finding, Pelvic structure finding"
Clitoral disorder,"Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Complication of parturition - trauma - cervical injury,"Reproductive system finding, Traumatic episode finding, Pelvic structure finding"
Cryptorchidism (Rig) - inguinal,"Urogenital system finding, Reproductive system finding, Congenital disorder finding, Pelvic structure finding"
Hernia - scrotal,"Musculoskeletal system finding, Abdominal finding, Pelvic structure finding"
Mass lesion - clitoral,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Neoplasm - clitoral,"Urogenital system finding, Reproductive system finding, Mass lesion/swelling finding, Pelvic structure finding"
Persistent hymen,"Urogenital system finding, Reproductive system finding, Congenital finding, Pelvic structure finding"
Pneumovagina,"Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Rectovaginal fistula (unspecified),"Alimentary tract/Digestive system finding, Abdominal finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding"
Rectovaginal fistula - congenital,"Alimentary tract/Digestive system finding, Abdominal finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding, Congenital finding"
Rectovaginal fistula - traumatic,"Alimentary tract/Digestive system finding, Abdominal finding, Urogenital system finding, Reproductive system finding, Pelvic structure finding, Traumatic episode finding"
Seminal vesiculitis,"Reproductive system finding, Inflammatory disorder finding, Pelvic structure finding"
Small intestinal herniation - inguinal hernia,"Musculoskeletal system finding, Alimentary tract/Digestive system finding, Abdominal finding, Pelvic structure finding"
Cervical rupture,"Urogenital system finding, Reproductive system finding, Traumatic episode finding, Pelvic structure finding"
