Fracture of skull - mandible,"Musculoskeletal system finding, Head and neck finding"
Fracture of skull - maxilla,"Musculoskeletal system finding, Head and neck finding"
Fracture of skull - multiple fractures,"Musculoskeletal system finding, Head and neck finding"
Fracture of skull - nasal bone,"Musculoskeletal system finding, Respiratory system finding, Head and neck finding"
Fracture of skull - orbit,"Musculoskeletal system finding, Ophthalmology/vision finding, Head and neck finding"
Fracture of skull - zygomatic bone,"Musculoskeletal system finding, Head and neck finding"
Fracture of sternum,"Musculoskeletal system finding, Thoracic finding"
Fracture of thoracic limb,"Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - carpal bone, accessory","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - carpal bone, distal","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - carpal bone, radial","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - carpal bone, ulnar","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - carpal bones, multiple","Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - clavicle,"Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - humerus,"Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - humerus, intercondylar Y/T","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - humerus, lateral condyle","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - humerus, medial condyle","Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - metacarpal(s),"Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - paw, multiple fractures","Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - phalanx,"Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - radius,"Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - radius AND ulna,"Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - scapula,"Musculoskeletal system finding, Limb finding"
Fracture of thoracic limb - ulna,"Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - ulna, Monteggia's fracture","Musculoskeletal system finding, Limb finding"
"Fracture of thoracic limb - ulna, olecranon","Musculoskeletal system finding, Limb finding"
Fracture of vertebral column,"Musculoskeletal system finding, Spine (vertebral column) finding"
Fracture of vertebral column - cervical,"Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
Fracture of vertebral column - first cervical vertebra (C1),"Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
Fracture of vertebral column - second cervical vertebra (C2),"Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
Fracture of vertebral column - lumbar,"Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding"
Fracture of vertebral column - thoracic,"Musculoskeletal system finding, Spine (vertebral column) finding, Thoracic finding"
Fracture of vertebral column - sacrum,"Musculoskeletal system finding, Spine (vertebral column) finding, Pelvic structure finding"
Fracture of vertebral column - coccygeal,"Musculoskeletal system finding, Spine (vertebral column) finding, Tail finding"
Hernia,Musculoskeletal system finding
Hernia - abdominal,"Musculoskeletal system finding, Abdominal finding"
Hernia - diaphragmatic,"Musculoskeletal system finding, Thoracic finding, Abdominal finding"
"Hernia - diaphragmatic, congenital","Musculoskeletal system finding, Congenital finding, Thoracic finding, Abdominal finding"
Hernia - hiatal,"Musculoskeletal system finding, Alimentary tract/Digestive system finding, Thoracic finding, Abdominal finding"
Hernia - inguinal,"Musculoskeletal system finding, Abdominal finding, Pelvic structure finding"
Hernia - perineal,"Musculoskeletal system finding, Perineal finding"
Hernia - peritoneopericardial,"Musculoskeletal system finding, Cardiovascular system finding, Congenital finding, Thoracic finding, Abdominal finding"
Hernia - umbilical,"Musculoskeletal system finding, Abdominal finding"
"Hernia, acquired",Musculoskeletal system finding
"Hernia, congenital","Musculoskeletal system finding, Congenital finding"
"Hip dysplasia, developmental","Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
"Hip dysplasia, developmental - bilateral","Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
"Hip dysplasia, developmental - unilateral","Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
Hypertrophic osteopathy (HOA) (Marie's disease),"Musculoskeletal system finding, Limb finding"
Hypertrophic osteosis of the calvarium,"Musculoskeletal system finding, Head and neck finding"
Incomplete ossification of the humeral condyle (IOHC),"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Intervertebral discitis,"Musculoskeletal system finding, Inflammatory disorder finding, Spine (vertebral column) finding"
Intervertebral discitis - infective,"Musculoskeletal system finding, Inflammatory disorder finding, Infective disorder finding, Spine (vertebral column) finding"
Intervertebral disc degeneration,"Musculoskeletal system finding, Degenerative disorder finding, Spine (vertebral column) finding"
Intervertebral disc disorder,"Musculoskeletal system finding, Spine (vertebral column) finding"
Intervertebral disc extrusion/herniation/prolapse,"Musculoskeletal system finding, Spine (vertebral column) finding"
Intervertebral disc extrusion/herniation/prolapse - cervical,"Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
Intervertebral disc extrusion/herniation/prolapse - lumbar,"Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding"
Intervertebral disc extrusion/herniation/prolapse - Schmorl's node,"Musculoskeletal system finding, Spine (vertebral column) finding"
Intervertebral disc extrusion/herniation/prolapse - thoracic,"Musculoskeletal system finding, Spine (vertebral column) finding, Thoracic finding"
Intervertebral disc rupture,"Musculoskeletal system finding, Spine (vertebral column) finding"
Joint luxation,Musculoskeletal system finding
Joint luxation - carpus,"Musculoskeletal system finding, Limb finding"
Joint luxation - elbow,"Musculoskeletal system finding, Limb finding"
Joint luxation - hip,"Musculoskeletal system finding, Limb finding"
Joint luxation - hock,"Musculoskeletal system finding, Limb finding"
Joint luxation - sacroiliac,"Musculoskeletal system finding, Spine (vertebral column) finding, Pelvic structure finding"
Joint luxation - shoulder,"Musculoskeletal system finding, Limb finding"
Joint luxation - tarsometatarsal,"Musculoskeletal system finding, Limb finding"
Joint luxation - temporomandibular (TMJ),"Musculoskeletal system finding, Head and neck finding"
Joint luxation - vertebral,"Musculoskeletal system finding, Spine (vertebral column) finding"
"Joint luxation - vertebral, sacrococcygeal","Musculoskeletal system finding, Spine (vertebral column) finding, Tail finding"
"Joint luxation, acquired",Musculoskeletal system finding
"Joint luxation, congenital","Musculoskeletal system finding, Congenital finding"
Joint subluxation,Musculoskeletal system finding
Joint subluxation - carpus,"Musculoskeletal system finding, Limb finding"
Joint subluxation - elbow,"Musculoskeletal system finding, Limb finding"
Joint subluxation - hip,"Musculoskeletal system finding, Limb finding"
Joint subluxation - hock,"Musculoskeletal system finding, Limb finding"
Joint subluxation - sacroiliac,"Musculoskeletal system finding, Spine (vertebral column) finding, Pelvic structure finding"
Joint subluxation - shoulder,"Musculoskeletal system finding, Limb finding"
Joint subluxation - temporomandibular (TMJ),"Musculoskeletal system finding, Head and neck finding"
Joint subluxation - vertebral,"Musculoskeletal system finding, Spine (vertebral column) finding"
"Joint subluxation, vertebral - Atlantoaxial subluxation","Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
"Joint subluxation, vertebral - Atlanto-occipital subluxation","Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
"Joint subluxation, acquired",Musculoskeletal system finding
"Joint subluxation, congenital","Musculoskeletal system finding, Congenital finding"
Joint instability,Musculoskeletal system finding
Joint instability - carpal,"Musculoskeletal system finding, Limb finding"
Joint instability - hock,"Musculoskeletal system finding, Limb finding"
Joint instability - sacroiliac,"Musculoskeletal system finding, Spine (vertebral column) finding, Pelvic structure finding"
Joint instability - shoulder,"Musculoskeletal system finding, Limb finding"
Leiomyoma,"Musculoskeletal system finding, Mass lesion/swelling finding"
Leiomyosarcoma,"Musculoskeletal system finding, Connective tissue finding, Mass lesion/swelling finding"
"Limb deformity, acquired","Musculoskeletal system finding, Limb finding"
"Limb deformity, congenital","Musculoskeletal system finding, Congenital finding, Limb finding"
"Limb deformity, developmental - carpal varus","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - carpal valgus","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - genu varum","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - genu valgum","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Limb deformity, developmental - pes varus","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Lymphoma - orbital,"Ophthalmology/vision finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Malignant hyperthermia,"Body temperature finding, Musculoskeletal system finding, Hereditary disorder finding"
Mass lesion - bone,"Musculoskeletal system finding, Mass lesion/swelling finding"
Mass lesion - jaw,"Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
"Mass lesion - jaw, mandible","Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
"Mass lesion - jaw, maxilla","Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Mass lesion - joint,"Musculoskeletal system finding, Mass lesion/swelling finding"
Mass lesion - mandibular,"Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Mass lesion - muscle,"Musculoskeletal system finding, Mass lesion/swelling finding"
Mass lesion - orbital,"Musculoskeletal system finding, Ophthalmology/vision finding, Mass lesion/swelling finding, Head and neck finding"
Mass lesion - retrobulbar,"Ophthalmology/vision finding, Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Mass lesion - synovial,"Musculoskeletal system finding, Mass lesion/swelling finding"
Masticatory myositis,"Musculoskeletal system finding, Inflammatory disorder finding, Immune system finding"
Meniscal injury,"Musculoskeletal system finding, Limb finding"
Metaphyseal osteopathy (Canine hypertrophic osteodystrophy),"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Muscle rupture,"Musculoskeletal system finding, Traumatic episode finding"
Myalgia,"Musculoskeletal system finding, Nervous system finding"
Myasthenia gravis,"Nervous system finding, Musculoskeletal system finding, Immune system finding"
"Myelopathy, Spondylotic cervical","Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding, Head and neck finding"
Myocardial infarction (MI),"Cardiovascular system finding, Musculoskeletal system finding, Thoracic finding"
Myocarditis,"Cardiovascular system finding, Musculoskeletal system finding, Inflammatory disorder finding, Thoracic finding"
Myopathy (muscle disorder),Musculoskeletal system finding
Myopathy (muscle disorder) - congenital,"Musculoskeletal system finding, Congenital finding"
Myopathy (muscle disorder) - endocrine,"Musculoskeletal system finding, Endocrine/Metabolic finding"
Myopathy (muscle disorder) - steroid-induced,"Musculoskeletal system finding, Adverse reaction finding, Drug-related disorder finding"
Myositis,"Musculoskeletal system finding, Inflammatory disorder finding"
Myotonia,Musculoskeletal system finding
Myotonia congenita,"Musculoskeletal system finding, Congenital finding, Hereditary disorder finding"
Neoplasm - bone,"Musculoskeletal system finding, Mass lesion/swelling finding"
Neoplasm - jaw,"Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
"Neoplasm - jaw, mandible","Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
"Neoplasm - jaw, maxilla","Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Neoplasm - joint,"Musculoskeletal system finding, Mass lesion/swelling finding"
Neoplasm - mandibular,"Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Neoplasm - muscle,"Musculoskeletal system finding, Mass lesion/swelling finding"
Neoplasm - orbital,"Musculoskeletal system finding, Ophthalmology/vision finding, Mass lesion/swelling finding, Head and neck finding"
Neoplasm - retrobulbar,"Ophthalmology/vision finding, Musculoskeletal system finding, Mass lesion/swelling finding, Head and neck finding"
Neoplasm - synovial,"Musculoskeletal system finding, Mass lesion/swelling finding"
Neoplastic metastasis - to bone,"Musculoskeletal system finding, Mass lesion/swelling finding"
Ophthalmoplegia,"Ophthalmology/vision finding, Musculoskeletal system finding, Nervous system finding, Head and neck finding"
Orbital cellulitis,"Ophthalmology/vision finding, Soft tissue finding, Haircoat/skin (+ appendages) finding, Musculoskeletal system finding, Inflammatory disorder finding, Head and neck finding"
Orbital trauma,"Ophthalmology/vision finding, Musculoskeletal system finding, Traumatic episode finding, Head and neck finding"
"Osteoarthritis (osteoarthrosis, degenerative joint disease (DJD))",Musculoskeletal system finding
Osteoarthritis - carpus,"Musculoskeletal system finding, Limb finding"
Osteoarthritis - elbow,"Musculoskeletal system finding, Limb finding"
Osteoarthritis - hip,"Musculoskeletal system finding, Limb finding"
Osteoarthritis - hock,"Musculoskeletal system finding, Limb finding"
Osteoarthritis - metacarpophalangeal joint,"Musculoskeletal system finding, Limb finding"
Osteoarthritis - metatarsophalangeal joint,"Musculoskeletal system finding, Limb finding"
Osteoarthritis - paw,"Musculoskeletal system finding, Limb finding"
Osteoarthritis - shoulder,"Musculoskeletal system finding, Limb finding"
Osteoarthritis - stifle,"Musculoskeletal system finding, Limb finding"
"Osteoarthritis, multiple sites",Musculoskeletal system finding
"Osteoarthritis, secondary",Musculoskeletal system finding
Osteochondritis dissecans (OCD),"Musculoskeletal system finding, Developmental disorder finding"
"Osteochondritis dissecans (OCD) - femoral condyle, lateral","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - femoral condyle, medial","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - shoulder,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - shoulder, humeral head","Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondritis dissecans (OCD) - talus,"Musculoskeletal system finding, Developmental disorder finding, Limb finding"
Osteochondroma,"Musculoskeletal system finding, Mass lesion/swelling finding"
"Osteochondrosis (Juvenile osteochondritis, dyschondroplasia)","Musculoskeletal system finding, Developmental disorder finding"
Osteomyelitis - femur,"Haematopoietic system finding, Inflammatory disorder finding, Musculoskeletal system finding, Limb finding"
Osteomyelitis - humerus,"Haematopoietic system finding, Inflammatory disorder finding, Musculoskeletal system finding, Limb finding"
Osteomyelitis - mandible,"Haematopoietic system finding, Inflammatory disorder finding, Musculoskeletal system finding, Head and neck finding"
Osteomyelitis - maxilla,"Haematopoietic system finding, Inflammatory disorder finding, Musculoskeletal system finding, Head and neck finding"
Osteomyelitis - radius,"Haematopoietic system finding, Inflammatory disorder finding, Musculoskeletal system finding, Limb finding"
Osteomyelitis - tibia,"Haematopoietic system finding, Inflammatory disorder finding, Musculoskeletal system finding, Limb finding"
Osteomyelitis - ulna,"Haematopoietic system finding, Inflammatory disorder finding, Musculoskeletal system finding, Limb finding"
Osteomyelitis - vertebral column,"Haematopoietic system finding, Inflammatory disorder finding, Musculoskeletal system finding, Spine (vertebral column) finding"
Osteopenia,Musculoskeletal system finding
Osteopetrosis,"Musculoskeletal system finding, Hereditary disorder finding"
Osteosarcoma,"Musculoskeletal system finding, Connective tissue finding, Mass lesion/swelling finding"
Osteosarcoma - appendicular,"Musculoskeletal system finding, Connective tissue finding, Mass lesion/swelling finding, Limb finding"
Osteosarcoma - axial,"Musculoskeletal system finding, Connective tissue finding, Mass lesion/swelling finding"
Osteosarcoma - extraskeletal,"Musculoskeletal system finding, Connective tissue finding, Mass lesion/swelling finding"
"Panosteitis, Canine",Musculoskeletal system finding
Paraneoplastic neuromyopathy/neuropathy,"Nervous system finding, Musculoskeletal system finding, Mass lesion/swelling finding"
Patellar luxation,"Musculoskeletal system finding, Limb finding"
Patellar luxation - lateral,"Musculoskeletal system finding, Limb finding"
Patellar luxation - medial,"Musculoskeletal system finding, Limb finding"
Physeal disorder - premature physeal closure,Musculoskeletal system finding
Polyarthritis,"Musculoskeletal system finding, Inflammatory disorder finding"
Polyarthritis - erosive,"Musculoskeletal system finding, Inflammatory disorder finding"
Polyarthritis - idiopathic,"Musculoskeletal system finding, Inflammatory disorder finding"
Polyarthritis - infectious,"Musculoskeletal system finding, Inflammatory disorder finding, Infectious disorder finding"
"Polyarthritis, acute","Musculoskeletal system finding, Inflammatory disorder finding"
"Polyarthritis, chronic","Musculoskeletal system finding, Inflammatory disorder finding"
Polyarthropathy,Musculoskeletal system finding
Polyarthropathy - immune-mediated,"Musculoskeletal system finding, Immune system finding"
Polymyositis,"Musculoskeletal system finding, Inflammatory disorder finding"
Post-operative complication - incisional hernia,"Complication of medical care finding, Musculoskeletal system finding"
Premature epiphyseal closure,Musculoskeletal system finding
Rhabdomyolysis,Musculoskeletal system finding
Rhabdomyolysis - exertional,Musculoskeletal system finding
Rheumatoid arthritis (RA),"Musculoskeletal system finding, Immune system finding"
Sarcoma - synovial,"Connective tissue finding, Musculoskeletal system finding, Mass lesion/swelling finding"
"Slipped capital femoral epiphysis, slipped upper femoral epiphysis","Musculoskeletal system finding, Limb finding"
"Spinal (vertebral column) anomaly, congenital","Musculoskeletal system finding, Congenital finding, Spine (vertebral column) finding"
"Spinal (vertebral column) anomaly, congenital - cervical malformation/malarticulation","Musculoskeletal system finding, Congenital finding, Spine (vertebral column) finding, Head and neck finding"
Spinal (vertebral column) disorder,"Musculoskeletal system finding, Spine (vertebral column) finding"
Spinal stenosis,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding"
Spinal stenosis - cervical,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding. Head and neck finding"
Spinal stenosis - lumbar,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding"
Spinal stenosis - lumbosacral,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding, Pelvic structure finding"
Spinal stenosis - thoracic,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding. Thoracic finding"
Spondylitis,"Musculoskeletal system finding, Inflammatory disorder finding, Spine (vertebral column) finding"
Spondylosis,"Musculoskeletal system finding, Spine (vertebral column) finding"
Spondylosis - cervical,"Musculoskeletal system finding, Spine (vertebral column) finding. Head and neck finding"
Spondylosis - lumbar,"Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding"
Spondylosis - lumbosacral,"Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding, Pelvic structure finding"
Spondylosis - thoracic,"Musculoskeletal system finding, Spine (vertebral column) finding, Thoracic finding"
Spondylosis with myelopathy - cervical,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding. Head and neck finding"
Spondylosis with myelopathy - lumbar,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding"
Spondylosis with myelopathy - lumbosacral,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding, Abdominal finding, Pelvic structure finding"
Spondylosis with myelopathy - thoracic,"Nervous system finding, Musculoskeletal system finding, Spine (vertebral column) finding. Thoracic finding"
Synostosis,"Musculoskeletal system finding, Limb finding"
Synostosis - radioulnar,"Musculoskeletal system finding, Limb finding"
Synovial cyst,"Musculoskeletal system finding, Mass lesion/swelling finding"
Synovitis,"Musculoskeletal system finding, Inflammatory disorder finding"
Tendinitis,"Musculoskeletal system finding, Connective tissue finding, Inflammatory disorder finding"
Tendinitis - Achilles tendon,"Musculoskeletal system finding, Connective tissue finding, Inflammatory disorder finding, Limb finding"
Tendinitis - biceps tendon,"Musculoskeletal system finding, Connective tissue finding, Inflammatory disorder finding, Limb finding"
Tendon disorder,"Musculoskeletal system finding, Connective tissue finding"
Tendon injury,"Musculoskeletal system finding, Connective tissue finding, Traumatic episode finding"
Tendon laceration,"Musculoskeletal system finding, Connective tissue finding, Wound finding, Traumatic episode finding"
Tendon rupture,"Musculoskeletal system finding, Connective tissue finding"
Tendon rupture - Achilles tendon,"Musculoskeletal system finding, Connective tissue finding, Limb finding"
"Tendon rupture - Achilles tendon, complete","Musculoskeletal system finding, Connective tissue finding, Limb finding"
