Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Plasmacytoma - oral (mouth),"Alimentary tract/Digestive system finding, Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding, Head and neck finding"
"Foal immunodeficiency syndrome (FIS, formerly Fell Pony syndrome)","Immune system finding, Lymphatic system finding, Haematopoietic system finding, Hereditary disorder finding"
Lymphangitis,"Lymphatic system finding, Inflammatory disorder finding"
Lymphoma - conjunctival,"Ophthalmology/vision finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Soft tissue finding, Head and neck finding"
Lymphoma - multicentric,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - nasopharyngeal,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Lymphoma - oral (mouth),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Head and neck finding"
Lymphoma - ovarian,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Urogenital system finding, Reproductive system finding, Abdominal finding"
Pharyngeal lymphoid hyperplasia (follicular hyperplasia),"Respiratory system finding, Alimentary tract/Digestive system finding, Lymphatic system finding, Immune system finding, Haematopoietic system finding, Head and neck finding"
( Severe ) Combined immunodeficiency disease ( SCID ),"Immune system finding, Lymphatic system finding, Haematopoietic system finding, Hereditary disorder finding"
"Lymphadenopathy, generalised - reactive hyperplasia","Lymphatic system finding, Haematopoietic system finding, Immune system finding"
"Lymphadenopathy, localised - reactive hyperplasia","Lymphatic system finding, Haematopoietic system finding, Immune system finding"
Lymphoma - nasal (nose),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Respiratory system finding, Mass lesion/swelling finding, Head and neck finding"
Lymphoma - nasal (nose) and renal (kidney),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Respiratory system finding, Mass lesion/swelling finding, Head and neck finding, Urogenital system finding, Abdominal finding"
Lymphangitis (type unspecified),"Lymphatic system finding, Inflammatory disorder finding"
Lymphangitis - sporadic/idiopathic,"Lymphatic system finding, Inflammatory disorder finding"
