Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
"Hip dysplasia, developmental - unilateral","Musculoskeletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
Hypersensitivity (allergic) skin disorder - atopic dermatitis,"Immune system finding, Haircoat/skin (+ appendages) finding, Hereditary disorder finding"
Lysosomal enzyme disorder,"Endocrine/metabolic finding, Hereditary disorder finding, Congenital finding"
Malignant hyperthermia,"Body temperature finding, Musculoskeletal system finding, Hereditary disorder finding"
Mucinosis,"Haircoat/skin (+ appendages) finding, Hereditary disorder finding"
Mucinosis - diffuse cutaneous,"Haircoat/skin (+ appendages) finding, Hereditary disorder finding"
Myotonia congenita,"Musculoskeletal system finding, Congenital finding, Hereditary disorder finding"
Osteochondritis dissecans (OCD) - elbow,"Musculosksletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
"Osteochondritis dissecans (OCD) - elbow, humeral condyle","Musculosksletal system finding, Hereditary disorder finding, Developmental disorder finding, Limb finding"
Osteopetrosis,"Musculoskeletal system finding, Hereditary disorder finding"
Progressive retinal atrophy (PRA),"Ophthalmology/vision finding, Hereditary disorder finding, Degenerative disorder finding, Head and neck finding"
Scottie cramp,"Nervous system finding, Hereditary disorder finding"
Storage disease,"Endocrine/metabolic finding, Hereditary disorder finding, Congenital finding"
Atopic dermatitis,"Immune system finding, Hereditary disorder finding, Haircoat/skin (+ appendages) finding"
Exercise-induced collapse in Labrador Retrievers,"Musculoskeletal system finding, Hereditary disorder finding"
Osteogenesis imperfecta,"Musculoskeletal system finding, Connective tissue finding, Hereditary disorder finding"
Pyruvate kinase (PK) deficiency,"Endocrine/Metabolic finding, Hereditary disorder finding"
Phosphofructokinase (PFK) deficiency,"Endocrine/Metabolic finding, Hereditary disorder finding"
L-2-Hydroxyglutaric aciduria (L-2-HGA),"Endocrine/metabolic finding, Nervous system finding, Hereditary disorder finding"
Hereditary metabolic disorder,"Hereditary disorder finding, Endocrine/Metabolic finding"
Shar Pei Fever,Hereditary disorder finding
Agammoglobulinaemia,"Immune system finding, Hereditary disorder finding"
Congenital stationary night blindness (CSNB),"Ophthalmology/vision finding, Congenital finding, Hereditary disorder finding, Head and neck finding"
Dwarfism - Achondroplasia,"Height/growth finding, Developmental disorder finding, Musculoskeletal system finding, Hereditary disorder finding"
"Foal immunodeficiency syndrome (FIS, formerly Fell Pony syndrome)","Immune system finding, Lymphatic system finding, Haematopoietic system finding, Hereditary disorder finding"
Hereditary equine regional dermal asthenia (HERDA; hyperelastosis cutis),"Haircoat/skin (+ appendages) finding, Hereditary disorder finding, Connective tissue finding"
Hyperkalaemic periodic paralysis (HYPP),"Musculoskeletal system finding, Hereditary disorder finding"
"Lavender foal syndrome (LFS)(Coat Colour Dilution Lethal, CCDL)","Hereditary disorder finding, Neonatal problem/disorder finding, Nervous system finding"
Muscular dystrophy,"Musculoskeletal system finding, Hereditary disorder finding"
( Severe ) Combined immunodeficiency disease ( SCID ),"Immune system finding, Lymphatic system finding, Haematopoietic system finding, Hereditary disorder finding"
Polymicrogyria,"Nervous system finding, Head and neck finding, Hereditary disorder finding, Congenital disorder finding"
Corneal lipid deposition - Corneal lipid dystrophy,"Ophthalmology/vision finding, Hereditary disorder finding, Head and neck finding"
Cutaneous asthenia (Ehlers-Danlos syndrome),"Haircoat/skin (+ appendages) finding, Musculoskeletal system finding, Hereditary disorder finding, Congenital disorder finding"
"Canine epileptoid cramping syndrome ("" Spikes disease "")","Musculoskeletal system finding, Hereditary disorder finding"
Albinism,"Haircoat/skin (+ appendages) finding, Ophthalmology/vison finding, Hereditary disorder finding, Congenital finding"
Aniridia,"Ophthalmology/vision finding, Congenital finding, Hereditary disorder finding, Head and neck finding"
Anterior segment dysgenesis,"Ophthalmology/vision finding, Congenital finding, Hereditary disorder finding, Head and neck finding"
Appaloosa parentage syndrome,"Haircoat/skin (+ appendages) finding, Hereditary disorder finding"
Vitiligo,"Haircoat/skin (+ appendages) finding, Hereditary disorder finding"
Arabian fading syndrome (Pinky Arab syndrome),"Haircoat/skin (+ appendages) finding, Hereditary disorder finding"
Mucopolysaccharidosis,"Endocrine/metabolic finding, Hereditary disorder finding, Congenital finding"
Arabian fading syndrome,"Haircoat/skin (+ appendages) finding, Hereditary disorder finding"
