Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Lymphoma - multicentric - T-cell,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - multicentric - immunophenotype unknown,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - bone,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Musculoskeletal system finding, Mass lesion/swelling finding"
Lymphoma - cardiac (heart),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Cardiovascular system finding, Mass lesion/swelling finding, Thoracic finding"
Lymphoma - cranial mediastinal/thymic,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Endocrine/Metabolic finding, Mass lesion/swelling finding, Thoracic finding"
Lymphoma - hepatic (liver),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Hepatobiliary system finding, Mass lesion/swelling finding, Abdominal finding"
Lymphoma - larynx,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Respiratory system finding, Mass lesion/swelling finding, Head and neck finding"
Lymphoma - rectum,"Alimentary tract/Digestive system finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Abdominal finding, Pelvic structure finding"
Lymphoma (site unspecified),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - conjunctival,"Ophthalmology/vision finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Soft tissue finding, Head and neck finding"
Lymphoma - multicentric,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding"
Lymphoma - nasopharyngeal,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Respiratory system finding, Alimentary tract/Digestive system finding, Head and neck finding"
Lymphoma - oral (mouth),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Head and neck finding"
Lymphoma - ovarian,"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Urogenital system finding, Reproductive system finding, Abdominal finding"
Lymphoma - nasal (nose),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Respiratory system finding, Mass lesion/swelling finding, Head and neck finding"
Lymphoma - nasal (nose) and renal (kidney),"Haematopoetic system finding, Immune system finding, Lymphatic system finding, Respiratory system finding, Mass lesion/swelling finding, Head and neck finding, Urogenital system finding, Abdominal finding"
