Dental (tooth) disorder,"Alimentary tract/Digestive system finding, Head and neck finding"
Panniculitis,"Haircoat/skin (+ appendages) finding, Soft tissue finding, Inflammatory disorder finding"
Polyp,"Soft tissue finding, Mass lesion/swelling finding"
Polyp - anal,"Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding"
Polyp - laryngeal,"Respiratory system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Polyp - middle ear,"Auditory system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Polyp - nasal (nose),"Respiratory system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Polyp - nasopharyngeal,"Respiratory system finding, Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Polyp - rectal,"Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Abdominal finding, Pelvic structure finding"
Polyp - urethral,"Urogenital system finding, Soft tissue finding, Mass lesion/swelling finding"
Polyp - urinary bladder,"Urogenital system finding, Soft tissue finding, Mass lesion/swelling finding, Abdominal finding"
Pyoderma - mucocutaneous,"Haircoat/skin (+ appendages) finding, Soft tissue finding, Infectious disorder finding"
Sarcoma - soft tissue,"Connective tissue finding, Soft tissue finding, Mass lesion/swelling finding"
"Squamous cell carcinoma - oral (mouth), gingival (gum)","Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
"Squamous cell carcinoma - oral (mouth), tongue (lingual)","Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Stomatitis,"Alimentary tract/Digestive system finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Stomatitis - ulcerative,"Alimentary tract/Digestive system finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Subconjunctival haemorrhage,"Ophthalmology/vision finding, Cardiovascular system finding, Soft tissue finding, Head and neck finding"
Third eyelid/nictitating membrane disorder - everted cartilage,"Ophthalmology/vision finding, Soft tissue finding, Head and neck finding"
Third eyelid/nictitating membrane disorder - inverted cartilage,"Ophthalmology/vision finding, Soft tissue finding, Head and neck finding"
Third eyelid/nictitating membrane disorder - laceration,"Ophthalmology/vision finding, Soft tissue finding, Wound finding, Traumatic episode finding, Head and neck finding"
Third eyelid/nictitating membrane disorder - prolapsed gland,"Ophthalmology/vision finding, Soft tissue finding, Head and neck finding"
Tongue (lingual) disorder,"Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Tongue (lingual) disorder - glossitis,"Alimentary tract/Digestive system finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Tongue (lingual) injury,"Alimentary tract/Digestive system finding, Soft tissue finding, Traumatic episode finding, Head and neck finding"
Tongue (lingual) paralysis,"Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Conjunctivitis,"Ophthalmology/vision finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Mass lesion - gingival (gum),"Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Neoplasm - gingival (gum),"Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Third eyelid/nictitating membrane disorder - prolapsed gland (Cherry eye),"Ophthalmology/vision finding, Soft tissue finding, Head and neck finding"
Third eyelid/nictitating membrane disorder - scrolled cartilage (everted),"Ophthalmology/vision finding, Soft tissue finding, Head and neck finding"
"Papilloma, solitary – mucous membrane","Soft tissue finding, Mass lesion/swelling finding"
"Papillomas, multiple – mucous membrane","Soft tissue finding, Mass lesion/swelling finding"
Peripheral oedema,Soft tissue finding
Lipoma (site unspecified),"Soft tissue finding, Mass lesion/swelling finding"
Lipoma (type unspecified),"Soft tissue finding, Mass lesion/swelling finding"
Polyp (site unspecified),"Soft tissue finding, Mass lesion/swelling finding"
Acanthomatous adamantinoma - mandible,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Acanthomatous adamantinoma - maxilla,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Epulis (type unspecified) - mandible,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Epulis (type unspecified) - maxilla,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
"Epulis - ossifying epulis, mandible","Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
"Epulis - ossifying epulis, maxilla","Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
"Epulis - periodontal fibromatous epulis (periodontal ossifying fibroma), mandible","Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
"Epulis - periodontal fibromatous epulis (periodontal ossifying fibroma), maxilla","Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
"Epulis - giant cell, mandible","Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
"Epulis - giant cell, maxilla","Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Fibrosarcoma - soft tissue,"Connective tissue finding, Soft tissue finding, Mass lesion/swelling finding"
Fibrosarcoma - Feline injection site,"Complication of medical care finding, Connective tissue finding, Soft tissue finding, Mass lesion/swelling finding"
Haemangiosarcoma - subcutaneous,"Cardiovascular system finding, Connective tissue finding, Soft tissue finding, Mass lesion/swelling finding"
Lipoma - abdominal wall,"Soft tissue finding, Mass lesion/swelling finding, Abdominal finding"
"Lipoma - limb, upper","Soft tissue finding, Mass lesion/swelling finding, Limb finding"
Lipoma - thoracic (chest) wall,"Soft tissue finding, Mass lesion/swelling finding, Thoracic finding"
Lipoma - infiltrative,"Soft tissue finding, Mass lesion/swelling finding"
Lipoma - intermuscular,"Soft tissue finding, Mass lesion/swelling finding"
Mast cell tumour - subcutaneous,"Haematopoietic system finding, Soft tissue finding, Mass lesion/swelling finding"
"Melanocytic neoplasm - malignant melanoma, mucocutaneous","Soft tissue finding, Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding"
Myxoma - subcutaneous,"Soft tissue finding, Connective tissue finding, Mass lesion/swelling finding"
Myxosarcoma - subcutaneous,"Soft tissue finding, Connective tissue finding, Mass lesion/swelling finding"
Plasmacytoma - mucosal,"Soft tissue finding, Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Plasmacytoma - mucocutaneous,"Haircoat/skin (+ appendages) finding, Soft tissue finding, Lymphatic system finding, Immune system finding, Haematopoietic system finding, Mass lesion/swelling finding"
Polyp - ear canal,"Auditory system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Chemosis,"Ophthalmology/vision finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Third eyelid/nictitating membrane disorder (unspecified),"Ophthalmology/vision finding, Soft tissue finding, Head and neck finding"
Conjunctivitis (cause unspecified),"Ophthalmology/vision finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Tongue (lingual) disorder (unspecified),"Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Adamantinoma - mandible,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Adamantinoma - maxilla,"Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Adhesions - cervical,"Urogenital system finding, Reproductive system finding, Soft tissue finding, Pelvic structure finding"
Adhesions - intra-abdominal,"Soft tissue finding, Abdominal finding"
Adhesions - uterine,"Reproductive system finding, Soft tissue finding, Abdominal finding"
Adhesions (site unspecified),Soft tissue finding
Conjunctival injury,"Ophthalmology/vision finding, Soft tissue finding, Traumatic episode finding, Head and neck finding"
Conjunctival laceration,"Ophthalmology/vision finding, Soft tissue finding, Traumatic episode finding, Wound finding, Head and neck finding"
Haemangiosarcoma - conjunctival,"Cardiovascular system finding, Connective tissue finding, Mass lesion/swelling finding, Ophthalmology/vision finding, Soft tissue finding, Head and neck finding"
Lip disorder,"Alimentary tract/Digestive system finding, Soft tissue finding, Head and neck finding"
Lip trauma,"Alimentary tract/Digestive system finding, Soft tissue finding, Traumatic episode finding, Head and neck finding"
"Lipoma - intestinal, non-strangulating","Soft tissue finding, Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
"Lipoma - intestinal, strangulating/pedunculated","Soft tissue finding, Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
Lymphoma - conjunctival,"Ophthalmology/vision finding, Haematopoetic system finding, Immune system finding, Lymphatic system finding, Mass lesion/swelling finding, Soft tissue finding, Head and neck finding"
"Melanocytic neoplasm - benign melanoma, lip","Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
"Melanocytic neoplasm - malignant melanoma, lip","Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Rhabdomyosarcoma - tongue (lingual),"Musculoskeletal system finding, Connective tissue finding, Alimentary tract/Digestive system finding, Soft tissue finding, Mass lesion/swelling finding, Head and neck finding"
Sarcoid - head - lip,"Haircoat/skin (+ appendages) finding, Mass lesion/swelling finding, Head and neck finding, Alimentary tract/Digestive system finding, Soft tissue finding"
Small colon obstruction with pedunculated lipoma,"Soft tissue finding, Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
Small intestinal obstruction with pedunculated lipoma,"Soft tissue finding, Mass lesion/swelling finding, Alimentary tract/Digestive system finding, Abdominal finding"
Soft tissue swelling (site unspecified),"Soft tissue finding, Mass lesion/swelling finding"
Soft tissue swelling - carpus,"Soft tissue finding, Musculoskeletal system finding, Mass lesion/swelling finding, Limb finding"
Soft tissue swelling - elbow,"Soft tissue finding, Musculoskeletal system finding, Mass lesion/swelling finding, Limb finding"
Soft tissue swelling - proximal metacarpal region,"Soft tissue finding, Mass lesion/swelling finding, Limb finding"
Soft tissue swelling - proximal metatarsal region,"Soft tissue finding, Mass lesion/swelling finding, Limb finding"
Soft tissue swelling - shoulder,"Soft tissue finding, Musculoskeletal system finding, Mass lesion/swelling finding, Limb finding"
Anasarca (generalised peripheral oedema),Soft tissue finding
Eosinophilic lip ulcer (rodent ulcer),"Haircoat/skin (+ appendages) finding, Immune system finding, Alimentary tract/Digestive system finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Feline gingivitis-stomatitis complex ( gingivostomatitis ),"Alimentary tract/Digestive system finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Foreign body - conjunctival,"Foreign body finding, Ophthalmology/vision finding, Soft tissue finding, Head and neck finding"
Soft tissue injury,"Soft tissue finding, Traumatic episode finding"
Haws syndrome (idiopathic bilateral third eyelid protrusion in cats),"Ophthalmology/vision finding, Soft tissue finding, Head and neck finding"
Plasmoma (third eyelid/nictitating membrane lymphoplasmacytic infiltrate),"Ophthalmology/vision finding, Soft tissue finding, Inflammatory disorder finding, Head and neck finding"
Skin (cutaneous)/subcutaneous soft tissue necrosis,"Haircoat/skin (+ appendages) finding, Soft tissue finding"
Adamantinoma (site unspecified),"Mass lesion/swelling finding, Soft tissue finding"
Acanthomatous adamantinoma (site unspecified),"Mass lesion/swelling finding, Soft tissue finding"
Adhesions - intrasynovial,"Soft tissue finding, Musculoskeletal system finding"
Adhesions - scrotal,"Soft tissue finding, Urogenital system finding, Reproductive system finding"
Exuberant granulation tissue (proud flesh),"Connective tissue finding, Soft tissue finding, Wound finding"
Keratoconjunctivitis (type unspecified),"Ophthalmology/vision finding, Inflammatory disorder finding, Soft tissue finding, Head and neck finding"
